,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
002470.SZ,金正大生态工程集团股份有限公司,金正大,山东金正大生态工程股份有限公司,复合肥、缓控释肥、硝基肥、水溶肥、生物肥、土壤调理剂等土壤所需全系列产品的研发、生产和销售以及为种植户提供相关的种植业解决方案服务。,　　许可项目：肥料生产；农药生产；农药批发；危险化学品生产；危险化学品经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：肥料销售；化工产品销售（不含许可类化工产品）；农业机械销售；农业机械服务；园艺产品销售；农作物种子经营（仅限不再分装的包装种子）；农用薄膜销售；食用农产品批发；农副产品销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；信息系统集成服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,金正大生态工程集团股份有限公司的主营业务为复合肥、缓控释肥、硝基肥、水溶肥、生物肥、土壤调理剂等土壤所需全系列产品的研发、生产和销售以及为种植户提供相关的种植业解决方案服务。公司“包膜控释肥”、“水稻专用控释肥”、“腐植酸包膜控释肥”被认定为国家重点新产品。公司目前拥有“金大地”、“沃夫特”两大“中国驰名商标”。作为复合肥的领军企业，公司的传统肥料、新型肥料以及土壤改良产品在技术和市场占有率方面居国内领先地位，具有较强的竞争优势。,李玉晓,临沭县国有资产管理服务中心 (27.53%),山东省临沂市临沭县兴大西街19号
002471.SZ,江苏中超控股股份有限公司,中超控股,江苏中超电缆股份有限公司,电线电缆的研发、生产、销售和服务。,"　　利用自有资金对外投资;电线电缆的制造、研制开发、销售、技术服务;输变电设备、电工器材、化工产品及原料(不含危险化学品)、铜材、铝材、钢材、合金材料的销售;自营和代理各类商品及技术的进出口业务(国家限定企业经营或禁止进出口的商品和技术除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)","江苏中超控股股份有限公司是一家专业从事电线电缆的研发、生产、销售和服务的公司。主要产品为电力电缆、电气装备用电线电缆、裸电线及电缆材料、电缆附件等。公司是一家高新技术企业，已通过ISO9001,ISO14001,ISO45001三大体系认证。",刘广忠,杨飞 (11.61%),江苏省无锡市宜兴市西郊工业园振丰东路999号
002472.SZ,浙江双环传动机械股份有限公司,双环传动,,机械传动齿轮及其相关零部件的研发、设计与制造。,　　一般项目：汽车零部件研发；机械设备研发；机电耦合系统研发；轴承、齿轮和传动部件制造；齿轮及齿轮减、变速箱制造；汽车零部件及配件制造；高铁设备、配件制造；轴承、齿轮和传动部件销售；齿轮及齿轮减、变速箱销售；轨道交通专用设备、关键系统及部件销售；风力发电机组及零部件销售；金属材料销售；非居住房地产租赁；园区管理服务；餐饮管理（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：餐饮服务；食品经营；货物进出口；技术进出口（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,浙江双环传动机械股份有限公司主营业务为机械传动齿轮及其相关零部件的研发、设计与制造，主要应用领域涵盖汽车的动力总成和传动装置包括变速器、分动箱等，新能源汽车的动力驱动装置如混合动力变速器以及各类纯电驱动电机与减速传动齿轮，非道路机械（含工程机械和农用机械）中的减速和传动装置，以及在轨道交通、风力发电、电动工具、机器人自动化等多个行业门类中的驱动、传动应用场景。公司始终秉持以客户需求为导向，以销定产、以研促产、属地产销的经营管理理念，经过多年持续的专业化、规模化耕耘，已发展成为具有较高国际知名度的齿轮及相关传动零部件的研发、制造及服务的提供商。,吴长鸿,吴长鸿 (7.35%)，蒋亦卿 (3.72%)，陈剑峰 (3.51%)，陈菊花 (0.32%),浙江省杭州市余杭区五常街道荆长大道658-1号2幢和合大厦
002473.SZ,宁波圣莱达电器股份有限公司,圣莱达,,输配电成套电气设备的生产销售及钢材贸易业务。,　　电热电器、电机电器及配件的制造、加工；自有房屋、场地租赁及企业管理咨询服务；自营和代理各类货物和技术的进出口，但国家限定经营或禁止进出口的货物和技术除外。,宁波圣莱达电器股份有限公司是一家专业从事输配电成套电气设备的生产销售及钢材贸易业务。公司主要产品为温控器及电热水壶整机。,单世东,覃辉 (16.91%),浙江省宁波市江北区万科云谷28幢6楼
002474.SZ,福建榕基软件股份有限公司,榕基软件,,行业应用软件研发、系统集成和运维服务。,　　软件开发；软件销售；信息系统集成服务；信息系统运行维护服务；计算机系统服务；信息技术咨询服务；软件外包服务；计算机软硬件及辅助设备批发；计算机软硬件及辅助设备零售；网络与信息安全软件开发；互联网安全服务；信息安全设备销售；信息安全设备制造；人工智能行业应用系统集成服务；人工智能应用软件开发；互联网数据服务；大数据服务；区块链技术相关软件和服务；物联网应用服务；物联网技术研发；物联网技术服务；物联网设备销售；安全系统监控服务；安防设备销售；安防设备制造；数字视频监控系统销售；数字文化创意软件开发；网络设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；建筑智能化系统设计；建筑智能化工程施工；各类工程建设活动；计算机信息系统安全专用产品销售；第二类增值电信业务；互联网信息服务；房地产开发、销售。,福建榕基软件股份有限公司的主营业务为行业应用软件研发、系统集成和运维服务。公司的主要业务有系统集成、软件产品及服务、园区开发与运营。,鲁峰,鲁峰 (17.22%),福建省福州市鼓楼区铜盘路福州软件园产业基地
002475.SZ,立讯精密工业股份有限公司,立讯精密,深圳立讯精密工业股份有限公司,连接器产品研发、生产和销售。,　　生产经营连接线、连接器、电脑周边设备、塑胶五金制品。,立讯精密工业股份有限公司是一家专注于连接器的研发、生产和销售的公司。公司的核心产品为电脑连接器，同时公司正逐步进入汽车连接器、通讯连接器和高端消费电子连接器领域，拓展新的产品市场。,王来春,王来胜 (19.32%)，王来春 (19.16%),广东省东莞市清溪镇北环路313号
002476.SZ,山东宝莫生物化工股份有限公司,宝莫股份,,聚丙烯酰胺、表面活性剂及相关化学品研发、生产、销售及技术服务、工业污水处理等业务。,　　丙烯酰胺的生产；丙烯腈批发（禁止储存，有效期限以许可证为准)。聚丙烯酰胺、表面活性剂、油田助剂、二甲基二烯丙基氯化铵、水处理剂、造纸助剂、选矿及印染助剂生产、销售；化工产品（不含危险化学品）的研发、生产、销售、加工；环境治理；高新技术项目及产品的开发、生产与经营；工程和技术研究与试验发展；以自有资金对外投资；进出口业务(依法须经批准的项目，经相关部门批准后方可开展经营活动）。,山东宝莫生物化工股份有限公司的主营业务是聚丙烯酰胺、表面活性剂及相关化学品研发、生产、销售及技术服务、工业污水处理等业务。公司主要产品为丙烯酰胺、聚丙烯酰胺、表面活性剂、稠油降粘剂等系列产品。公司在三次采油市场拥有领先的市场份额和品牌知名度，具有明显的技术和市场优势。,陶旭城,吴昊 (13.64%),山东省东营市东营区西四路892号
002477.SZ,雏鹰农牧集团股份有限公司,雏鹰农牧,雏鹰农牧股份有限公司,生猪养殖。,"　　畜禽养殖销售及技术开发；生猪屠宰、预包装食品批发零售及新产品的技术研发等。农产品销售；从事货物和技术进出口业务（国家法律法规规定应经审批方可经营或禁止进出口的货物和技术除外）；饲料生产销售；铁路专用线货物运输服务（企业自用；法律法规规定应经审批方可经营的项目未获审批前不得经营）。
　　",雏鹰农牧集团股份有限公司主营业务为生猪养殖。公司主要产品包括生猪产品、粮食、生鲜冻品、熟食。,侯建芳,侯建芳 (39.75%),河南省郑州市新郑市薛店镇世纪大道1号
002478.SZ,江苏常宝钢管股份有限公司,常宝股份,,油气开采用管、电站锅炉用管、工程机械及石化换热器用管等特种专用管材的研发、生产和销售。,　　钢压延加工（包括无缝钢管、焊接钢管生产），钢冶炼，钢支柱、钢脚手架、金属跳板、钢模板制造；自营和代理各类商品和技术的进出口业务（国家限定公司经营或禁止进出口的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,江苏常宝钢管股份有限公司主要从事油气开采用管、电站锅炉用管、工程机械及石化换热器用管等特种专用管材的研发、生产和销售，主要产品为油气开采用管、电站锅炉用管、工程机械用管以及其他细分市场特殊用管。公司小口径高压锅炉管具有领先的竞争优势和行业地位。公司获得2022年度常州市委市政府“提质增效、创新争星”活动“重大贡献奖”、“工业五星级企业”、“纳税百强企业”、“销售规模奖企业”等荣誉称号，董事长曹坚荣获“工业明星企业家”称号；公司获得2022年度常州经济开发区“纳税大户金奖企业”、“进出口十强企业”等荣誉。,曹坚,曹坚 (27.79%),江苏省常州市武进区延陵东路558号
002479.SZ,浙江富春江环保热电股份有限公司,富春环保,,固废(污泥、垃圾)协同处置及节能环保业务。,　　发电电力业务；蒸汽、热水生产；热电技术咨询；轻质建筑材料制造；电力工程总承包（以下简称EPC业务）；纸浆生产、销售；食品级卡纸生产、销售；固废、危废无害化处置、资源综合回收利用；生产、销售有色金属。有色金属综合利用；生产、销售有色金属。,"浙江富春江环保热电股份有限公司主营业务为固废(污泥、垃圾)协同处置及节能环保业务。公司主要产品是清洁电能、清洁热能、煤炭、冷轧钢卷、木浆、有色金属资源综合利用、EPC总包工程、固废处置。公司进入行业较早，通过早期的扩张发展与积累形成了一定的垄断优势，目前已形成日处理垃圾能力1,000吨，污泥处置能力7,000吨，是国内大型的环保公用型污泥、垃圾协同处置的节能环保企业，固废处置规模全国领先。",万娇,南昌市国有资产监督管理委员会 (18.44%),浙江省杭州市富阳区东洲街道江滨东大道138号
002480.SZ,成都市新筑路桥机械股份有限公司,新筑股份,,桥梁功能部件、轨道交通、光伏发电。,　　金属桥梁结构及桥梁零件的设计制造；建筑用金属结构、构件的设计制造；橡胶制品的设计制造；铁路机车车辆配件和铁路专用设备及器材、配件的设计制造；环境污染防治专用设备的设计制造；工程设计、工程咨询；环保工程、钢结构工程；交通器材及其他交通运输设备、交通安全及管制专用设备、水资源专用机械制造；商品批发与零售；进出口业；特种专业工程专业承包；城市低地板车辆及配件的设计、制造，租赁及相关领域的技术服务；合成材料制造；塑料制品业；石膏、水泥制品及类似制品制造；输配电及控制设备制造；软件和信息技术服务业；市政公用工程总承包施工；公路工程总承包施工；建筑机电安装工程专业承包施工；公路交通工程专业承包施工；城市轨道交通运输；铁路工程、隧道工程和桥梁工程；铁路铺轨架梁工程。（以上项目不含前置许可项目，后置许可项目凭许可证或审批文件经营）。,成都市新筑路桥机械股份有限公司主营业务为轨道交通业务、桥梁功能部件、光伏发电。公司主要产品有桥梁支座、桥梁伸缩装置、预应力锚具。公司已发展成为一家能够为客户提供从产品研发、设计、生产到现场售后服务整体解决方案的全国行业知名领先企业。国内绝大部分的高速铁路、高速公路和世界级桥梁工程均应用了公司的桥梁功能部件产品，并远销亚洲、欧洲、非洲、美洲的多个国家和地区，行业地位领先。,肖光辉,四川省国有资产监督管理委员会 (26.55%),四川省成都市新津区四川新津县工业园区
002481.SZ,烟台双塔食品股份有限公司,双塔食品,,豌豆蛋白、粉丝、膳食纤维。,　　许可项目：食品生产；食品销售；保健食品生产；食品添加剂生产；发电业务、输电业务、供（配）电业务；食用菌菌种生产；食用菌菌种经营；豆制品制造；饮料生产；粮食加工食品生产；检验检测服务；农作物种子经营；乳制品生产；化妆品生产；饲料生产；道路货物运输（不含危险货物）；生物质燃气生产和供应。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：食品销售（仅销售预包装食品）；食品互联网销售（仅销售预包装食品）；保健食品（预包装）销售；食用菌种植；食用农产品初加工；食用农产品批发；蔬菜种植；新鲜蔬菜批发；农作物种子经营（仅限不再分装的包装种子）；包装服务；肥料销售；未经加工的坚果、干果销售；服装服饰批发；鞋帽批发；针纺织品销售；棉、麻销售；纸浆销售；木材销售；橡胶制品销售；生物有机肥料研发；农副产品销售；金属矿石销售；专用设备修理；五金产品批发；金属制品销售；塑料制品销售；建筑材料销售；广播影视设备销售；通讯设备销售；电子产品销售；机械设备销售；汽车零配件批发；金银制品销售；化妆品零售；日用百货销售；家用电器销售；珠宝首饰制造；珠宝首饰零售；珠宝首饰批发；畜牧渔业饲料销售；普通货物仓储服务（不含危险化学品等需许可审批的项目）；低温仓储（不含危险化学品等需许可审批的项目）；国内贸易代理；货物进出口；技术进出口；进出口代理。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"烟台双塔食品股份有限公司主营业务主要包括豌豆蛋白、粉丝、膳食纤维等。公司的主要产品为纯豆粉丝、杂粮粉丝、红薯粉条、豌豆蛋白、膳食纤维、食用菌等。公司是行业内最大的龙口粉丝生产企业,也是唯一一家上市企业。",杨君敏,招远市金岭镇人民政府 (34.21%),山东省烟台市招远市金领镇寨里村
002482.SZ,深圳广田集团股份有限公司,广田集团,深圳广田装饰集团股份有限公司,建筑装饰工程的设计与施工。,　　承担境内、外各类建筑（包括车、船、飞机）的室内外装饰工程的设计与施工；承接公用、民用建设项目的水电设备安装；各类型建筑幕墙工程、金属门窗的设计、生产、制作、安装及施工；机电设备安装工程、建筑智能化工程、消防设施工程、园林绿化工程的设计与施工；市政工程施工；家具和木制品的设计、生产和安装；建筑装饰石材加工、销售及安装；建筑装饰设计咨询、服务；建筑装饰软饰品设计、制作、安装以及经营；新型环保材料的技术研发、生产及销售（以上各项不含法律、行政法规、国务院决定规定需报经审批的项目，涉及有关主管部门资质许可的需取得资质许可后方可经营），从事货物及技术进出口业务。投资兴办实业（具体项目另行申报）。,"深圳广田集团股份有限公司是一家以建筑装饰设计与施工为主营业务的集团企业,业务涵盖装饰、设计、幕墙、园林、智能、机电、软装、土建、工程金融等领域,是建筑装饰企业中高等级资质最完备的企业之一。公司主要产品包括工程金融、智能工程、建筑装饰。公司作为批量住宅精装修领域第一名,拥有20余年住宅精装修经验,形成了独具特色的标准化体系和管控模式,开创了与国内众多大型房地产开发商住宅精装战略合作的先河。在精装房施工方面,市场占有率全国第一。",范志全,叶远西 (49.74%),广东省深圳市罗湖区深南东路2098号
