,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
000001.SZ,平安银行股份有限公司,平安银行,深圳发展银行股份有限公司,经有关监管机构批准的各项商业银行业务。,　　吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；结汇、售汇业务；离岸银行业务；资产托管业务；办理黄金业务；财务顾问、资信调查、咨询、见证业务；经有关监管机构批准的其他业务。,平安银行股份有限公司主要从事经有关监管机构批准的各项商业银行业务。2020年3月，《亚洲货币》主办2020“中国私人银行大奖”评选，本行私人银行获评“最佳家族办公室”大奖；2020年8月，《亚洲银行家》举办“2020年度中国奖项计划”活动，本行荣获“中国最佳手机银行应用”、“中国最佳客户体验（无摩擦奖项类别）”、“中国最佳商业模式”、“中国最佳贸易金融银行奖”、“最佳网络安全和IT风险管理项目”等八项大奖；2020年11月，权威机构IT研究顾问公司Gartner主办的“Gartner金融服务创新奖”决赛，本行凭借智慧风控平台项目，获得“Gartner金融服务创新奖”亚太地区的冠军等。,谢永林,,"广东省深圳市罗湖区深南东路5047号,广东省深圳市福田区益田路5023号平安金融中心B座"
000002.SZ,万科企业股份有限公司,万科,,房地产开发和物业服务。,　　兴办实业(具体项目另行申报)；国内商业；物资供销业(不含专营、专控、专卖商品)；进出口业务(按深经发审证字第113号外贸企业审定证书规定办理)；房地产开发。,万科企业股份有限公司的主营业务为房地产开发和物业服务；公司主要产品及服务为房地产、物业管理、投资咨询；公司荣获中央电视台颁发的“2018年CCTV中国十佳上市公司”、国际权威金融杂志《机构投资者》（Institutional Investor）颁发的“2018年度亚洲区（日本除外）最佳企业管理团队和公司治理奖”、《董事会》杂志颁发的第十三届中国上市公司董事会“金圆桌奖”董事会治理特殊贡献奖等若干奖项。2020年，公司荣获《亚洲货币》颁发的“地产行业最佳A股上市公司大奖”、香港大公文汇传媒集团颁发的“第十届中国证券金紫荆奖最佳上市公司”等若干奖项。,郁亮,,广东省深圳市盐田区大梅沙环梅路33号万科中心
000003.SZ,,,,,,,,,
000004.SZ,深圳国华网安科技股份有限公司,国华网安,深圳中国农大科技股份有限公司,移动互联网安全、智慧城市及应急业务。,　　信息传输、软件和信息技术服务；计算机软件、信息系统软件的开发、销售；信息系统设计、集成、运行维护；信息技术咨询；集成电路设计、研发；计算机、软件及辅助设备的销售；自有物业租赁；机械设备租赁（不配备操作人员的机械设备租赁，不包括金融租赁活动）；计算机及通讯设备租赁；企业形象策划；信息咨询（不含限制项目）；经济信息咨询（不含限制项目）；贸易咨询；企业管理咨询（不含限制项目）；商务信息咨询；商业信息咨询；投资兴办实业（具体项目另行申报）；投资咨询（不含限制项目）。,深圳国华网安科技股份有限公司主营业务是移动应用安全服务业务。公司的主要产品是《创世神曲》游戏的运营及相关服务。公司在相关领域的技术研发水平已处于国内领先。,黄翔,李映彤 (14.25%),广东省深圳市福田区梅林街道孖岭社区凯丰路10号翠林大厦12层
000005.SZ,深圳世纪星源股份有限公司,世纪星源,深圳原野实业股份有限公司,绿色低碳城市社区建设相关的服务业务。,　　生产经营各种喷胶布、针刺布、缝编尼纺布、粘合布、纤维裥棉色织、印花布以及服装、服装面料、辅料、配料、纺织制衣设备、仪器仪表、轻纺原材料。,深圳世纪星源股份有限公司从事的主要业务为交通、清洁能源、水资源基础设施经营性项目的开发投资；低碳技术集成、水处理设备销售和环境处理成套设备销售和环境工程服务；不动产项目、水电项目的开发管理、工程监理和建筑、工程设计服务；酒店经营、物管服务和“智慧空间水管理”的物业管理服务；不动产项目权益投资组合管理和大型工业园区开发投资管理服务。,丁芃,"丁芃,郑列列 (16.75%)",广东省深圳市罗湖区深南东路2017号华乐大厦3楼
000006.SZ,深圳市振业(集团)股份有限公司,深振业;振业集团,深圳市振业股份有限公司,从事房地产开发与销售。,　　土地开发、房产销售及租赁、物业管理。,深圳市振业(集团)股份有限公司主要从事房地产开发与销售。产品类别涉及房产租赁、房产销售、代建服务等。,赵宏伟,深圳市人民政府国有资产监督管理委员会 (36.99%),广东省深圳市南山区科技南路16号深圳湾科技生态园11栋A座42-43层
000007.SZ,深圳市全新好股份有限公司,全新好,深圳市零七股份有限公司,物业管理和房屋租赁业、汽车经销业、大健康产业。,　　投资兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）；自有物业租赁；环保产品的技术开发；信息咨询（不含限制项目）；项目投资；矿业投资；矿产品的销售（不含专营、专控、专卖商品），经营进出口业务（法律、行政法规、国务院决定禁止的项目除外，限制的项目须取得许可后方可经营）；投资金融服务项目并进行投资管理（不得从事证券投资活动；不得以公开方式募集资金开展投资活动；不得从事公开募集基金管理业务）；从事其他投资与投资管理。,深圳市全新好股份有限公司主营业务主要为物业管理和房屋租赁业、汽车经销业、大健康产业。公司主要产品和服务包括物业管理及停车费、房屋租赁、汽车销售及相关服务、日常用品其他类。,陆波,王玩虹 (5.52%)，陈卓婷 (3.89%)，林昌珍 (2.83%)，陆尔东 (2.18%)，李强 (2.13%)，陈军 (0.51%),广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼
000008.SZ,神州高铁技术股份有限公司,神州高铁,广东宝利来投资股份有限公司,专业致力于提供轨道交通运营检修装备与数据、线路运营、维保服务。,　　轨道交通、计息机网络的技术开发、技术咨询、技术转让、技术服务；销售开发后的产品；计算机系统服务；货物进出口；技术进出口；代理进出口；项目投资；物业管理。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,神州高铁技术股份有限公司主营业务是专业致力于提供轨道交通运营检修装备与数据、线路运营、维保服务。公司业务已覆盖车辆检修、信号控制、车载电子、钢轨线路、轨边检测、供电检测、货站监测、BIM仿真等专业领域。2019年以来，公司先后取得天津地铁7号线、天津地铁2号线等项目的长期运营权，迈入发展新阶段。,王志全,国务院国有资产监督管理委员会 (18.98%),北京市海淀区高粱桥斜街59号院1号楼中坤大厦16层
000009.SZ,中国宝安集团股份有限公司,中国宝安,深圳市宝安企业(集团)股份有限公司,高新技术产业、生物医药产业、房地产及其他产业。,　　新材料、新能源材料、新能源等高新技术产业项目的投资及经营；现代生物医药项目的投资及经营；房地产开发经营。,中国宝安集团股份有限公司主要业务涉及高新技术产业、生物医药产业、房地产及其他产业。公司主要产品包括生物农药、生物肥料、房地产等。,陈政立,,广东省深圳市罗湖区笋岗东路1002号宝安广场A座28-29层
000010.SZ,深圳美丽生态股份有限公司,美丽生态,北京深华新股份有限公司,工程施工、园林绿化及环境综合整治。,　　一般经营项目是：高新技术项目的开发及技术服务，计算机网络系统工程、计算机软、硬件的技术开发、电子技术产品的技术开发，信息咨询服务（以上不含限制项目）；国内贸易（不含专营、专控、专卖商品）；园林植物的研究、开发、销售；园林环境景观的设计；建筑材料、园林机械设备、体育用品的销售；投资与资产管理（不得从事信托、金融资产管理、证券资产管理等业务）；生态恢复及生态保护服务；水土流失防治服务；土壤污染治理与修复服务；土壤环境污染防治服务；煤炭及制品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动），许可经营项目是：计算机网络系统工程、计算机软、硬件的生产、安装（具体项目另行申报），电子技术产品的生产；园林绿化工程和园林维护；园林植物的种植；地质灾害治理工程施工。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,深圳美丽生态股份有限公司主营业务为工程施工、园林绿化及环境综合整治。公司的主要产品有市政工程、公路工程、房屋建筑工程施工。目前公司两家全资子公司具有风景园林工程设计专项甲级、市政行业设计专业乙级、工程设计（建筑工程）乙级及文物保护工程勘察古建筑设计丙级、旅游规划设计资质证乙级、国家壹级城市园林绿化企业资质、市政公用工程施工总承包贰级（含多项增项）、绿化造林施工资质乙级、绿化造林设计资质乙级等多项设计和施工资质，公司资质可比肩国内一线企业，具有较强的综合竞争力。,陈飞霖,沈玉兴 (34.65%),广东省深圳市宝安区宝兴路6号海纳百川总部大厦B座1701-1703室
