,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
688297.SH,中航(成都)无人机系统股份有限公司,中无人机,成都空天飞行器股份有限公司,"无人机系统的设计研发,生产制造,销售和服务。",　　无人机系统，空天飞行器及其配套产品的设计，生产，修理，销售，租赁，售后服务和技术开发，技术转让，技术咨询，技术服务。(依法须经批准的项目，经相关部门批准后方可展开经营活动)。,中航(成都)无人机系统股份有限公司的主营业务为无人机系统的设计研发，生产制造，销售和服务。公司的主要产品为翼龙系列无人机系统，由无人机平台、地面站、任务载荷及综合保障系统组成。公司当前翼龙系列无人机系统产品包括翼龙-1、翼龙-1D、翼龙-2等。公司主要产品翼龙系列无人机系统具备长航时、全自主多种控制模式、多种复合侦察手段、多载荷武器集成、精确侦察与打击能力和全面灵活的支持保障能力，产品及其相关技术获得了第五届中国工业大奖表彰奖、国防科技进步奖一等奖、二等奖、三等奖等奖项。公司于2021年1月获得国防科工局授予的“2019-2020年度国防科技工业军品出口先进单位”。,张晓军,国务院国有资产监督管理委员会 (51.75%),四川省成都市郫都区高新西区合作路1199号
001230.SZ,劲旅环境科技股份有限公司,劲旅环境,劲旅环境科技有限公司,环境卫生领域的投资运营管理服务及装备制造。,　　一般项目：环境保护专用设备制造；环境保护专用设备销售；汽车销售；汽车零部件及配件制造；汽车零配件零售；环境应急技术装备制造；环境应急技术装备销售；普通机械设备安装服务；金属结构制造；金属结构销售；污泥处理装备制造；塑料制品制造；塑料制品销售；机械设备租赁；再生资源加工；再生资源回收（除生产性废旧金属）；再生资源销售；环境卫生公共设施安装服务；园林绿化工程施工；污水处理及其再生利用；水污染治理；农村生活垃圾经营性服务；水环境污染防治服务；土壤污染治理与修复服务；市政设施管理；名胜风景区管理；环境卫生管理（不含环境质量监测，污染源检查，城市生活垃圾、建筑垃圾、餐厨垃圾的处置服务）；停车场服务；建筑物清洁服务；城市公园管理；打捞服务；农林废物资源化无害化利用技术研发；固体废物治理；工程管理服务；人工智能行业应用系统集成服务；信息系统集成服务；物联网设备销售；基于云平台的业务外包服务；信息技术咨询服务（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）许可项目：道路机动车辆生产；电气安装服务；报废机动车回收；城市生活垃圾经营性服务；建设工程设计；建设工程施工；城市建筑垃圾处置（清运）；餐厨垃圾处理；危险废物经营；公路管理与养护；道路货物运输（不含危险货物）；建筑劳务分包（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,劲旅环境科技股份有限公司的主营业务是环境卫生领域的投资运营管理服务及装备制造。主要服务是清扫保洁、生活垃圾分类收集转运、厕所管护。主要产品是环卫车辆、垃圾压缩设备、深埋式垃圾桶、厕所类产品、农村污水处理设备。,于晓霞,于晓霞 (21.71%)，于晓娟 (15.37%)，于洪波 (15.36%),安徽省合肥市瑶海区新站区沱河路517号
001258.SZ,新疆立新能源股份有限公司,立新能源,新疆新能源新风投资开发有限公司,风力发电、光伏发电项目的投资、开发、建设和运营。,　　无（国家法律、法规规定有专项审批的项目除外；需取得专项审批待取得有关部门的批准文件或颁发的行政许可证书后方可经营，具体经营项目期限以有关部门的批准文件和颁发的行政许可证为准）：风电、光伏/光热电、水电、天然气、煤层气、页岩气、地热的清洁能源开发建设、运营管理、技术咨询及对外投资。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,新疆立新能源股份有限公司主营业务为风力发电、光伏发电项目的投资、开发、建设和运营。公司的主要产品是电力。公司目前运营的风电场、光伏电站主要位于新疆北部地区，公司运营的电站区位优势明显。,王博,新疆维吾尔自治区人民政府国有资产监督管理委员会 (42.87%),新疆维吾尔自治区乌鲁木齐市头屯河区经济技术开发区喀什西路752号西部绿谷大厦5层
001309.SZ,深圳市德明利技术股份有限公司,德明利,深圳市德名利电子有限公司,闪存主控芯片设计、研发，存储模组产品应用方案的开发、优化，以及存储模组产品的销售。,"　　一般经营项目：计算机系统集成、计算机网络技术、计算机网络软件、计算机应用软件的研发、技术咨询；光器件和光模块以及与相关的新技术、新产品的开发、研制、技术转让、技术咨询；电脑软件、软件产品、计算机软硬件、电子产品、集成电路软硬件的研发、批发、技术咨询、技术服务、佣金代理（不含拍卖）、进出口及相关配套业务（不涉及国营贸易管理商品，涉及配额、许可证管理及其它专项规定管理的商品，按国家有关规定办理申请）；转让自行研发的技术成果；从事货物及技术进出口（不含分销、国家专营专控商品）；从事上述产品的售后服务。以上经营范围不含国家规定实施准入特别管理措施的项目，涉及备案许可资质的需取得相关证件后方可经营。
　　许可经营项目：光计算机系统集成、计算机软硬件、光器件、光模块、集成电路和模块、电子设备、存储产品等电子产品的封装、测试、生产和销售。","深圳市德明利技术股份有限公司主营业务为闪存主控芯片设计、研发,存储模组产品应用方案的开发、优化,以及存储模组产品的销售。主要产品为存储卡、存储盘、固态硬盘等存储模组。",田华,李虎 (40.02%)，田华 (0.39%),广东省深圳市福田区梅林街道梅都社区中康路136号深圳新一代产业园1栋A座2301、2401、2501
001336.SZ,杭州楚环科技股份有限公司,楚环科技,,集研发、设计、制造、销售、服务为一体的废气恶臭治理系统解决方案服务商。,　　一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；太阳能发电技术服务；储能技术服务；新兴能源技术研发；碳减排、碳转化、碳捕捉、碳封存技术研发；物联网技术研发；环保咨询服务；信息系统集成服务；物联网技术服务；大气污染治理；环境保护监测；环境保护专用设备制造；专用设备制造（不含许可类专业设备制造）；光伏设备及元器件制造；环境保护专用设备销售；机械设备销售；环境监测专用仪器仪表销售；物联网设备销售；大气污染监测及检测仪器仪表销售；仪器仪表销售；电子专用设备销售；专用设备修理；通用设备修理；仪器仪表修理；电子、机械设备维护（不含特种设备）；普通机械设备安装服务；光伏设备及元器件销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：建设工程施工；电气安装服务；施工专业作业（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,杭州楚环科技股份有限公司是一家集研发、设计、制造、销售、服务为一体的废气恶臭治理系统解决方案服务商，公司主要产品为废气恶臭治理设备，按工艺类型可分为生物除臭设备、离子除臭设备和其他工艺除臭设备。同时，公司还提供水处理设备的代理销售及设备维修服务。公司是国家高新技术企业，致力把技术创新作为自身核心竞争力的重要组成部分。,陈步东,陈步东 (26.01%)，吴意波 (8.87%),浙江省杭州市拱墅区祥园路108号5幢601室
301139.SZ,元道通信股份有限公司,元道通信,,提供包括通信网络维护与优化、通信网络建设在内的通信技术服务。,　　许可项目：建设工程施工；建筑劳务分包；施工专业作业；劳务派遣服务；输电、供电、受电电力设施的安装、维修和试验；供电业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：信息技术咨询服务；信息系统集成服务；网络技术服务；移动通信设备销售；软件开发；5G通信技术服务；居民日常生活服务；住房租赁；商务代理代办服务；企业管理；销售代理；物业管理；餐饮管理；制冷、空调设备销售；小微型客车租赁经营服务；电气设备销售；光伏设备及元器件销售；租赁服务（不含许可类租赁服务）；电气设备修理；装卸搬运。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,元道通信股份有限公司主营业务是提供通信网络维护与优化、通信网络建设在内的通信技术服务。主要产品是通信网络维护与优化服务、通信网络建设服务、信息通信软硬件产品。公司在行业内评价同样较高，被中国通信企业协会评为“中国通信信息行业AAA信用评级”，自2014年起便连续获得“用户满意企业”、“通信网络维护服务支撑先进单位”、“通信网络维护服务管理创新先进单位”等荣誉。,李晋,李晋 (27.47%),河北省石家庄市鹿泉区上庄镇智创谷中心22号楼
301175.SZ,北京中科润宇环保科技股份有限公司,中科环保,北京中科润宇环保科技有限公司,为政府和社会提供废弃物处理处置综合服务。,　　技术开发、技术推广、技术服务；废气治理；大气污染治理；专业技术服务；销售自行开发后的产品、电子产品、机械设备、五金交电；货物进出口、技术进出口、代理进出口；水污染治理；污水处理及其再生利用；机械设备租赁（不含汽车租赁）；城乡生活垃圾的清扫、收集、运输、处理；固体废物污染治理；施工总承包；专业承包；劳务分包；建设工程项目管理。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,北京中科润宇环保科技股份有限公司专注于为政府和社会提供废弃物处理处置综合服务。主要业务包括生活类垃圾处理业务、危废处理处置业务、环保装备销售及技术服务。公司已取得共计25项专利和诸多成熟生产工艺技术。公司系中国科学院以科技创新为引领的环保产业平台，致力于为环境可持续性发展提供最佳可行技术（BAT）和最佳环境实践（BEP），目标发展成为“科技改变环境”的卓越企业。公司所参与《废弃物焚烧与钢铁冶炼二恶英污染控制技术与对策》项目荣获2019年国家科学技术进步二等奖，为国家环境保护重点技术升级做出积极贡献。,栗博,中国科学院 (38.98%),北京市海淀区苏州街3号11层1102-03
301208.SZ,北京中亦安图科技股份有限公司,中亦科技,,IT运行维护服务、原厂软硬件产品、自主智能运维产品和运营数据分析服务。,　　技术开发、技术推广、技术转让、技术咨询、技术服务；计算机系统服务；计算机维修；销售计算机、软件及辅助设备、电子产品、仪器仪表及文化、办公用机械、机械设备；货物进出口、技术进出口；企业管理咨询。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,"北京中亦安图科技股份有限公司是一家专业的IT架构“服务+产品”综合提供商，业务范围涵盖IT运行维护服务、原厂软硬件产品、自主智能运维产品和运营数据分析服务。公司根据客户需求提供IT运行维护服务、原厂软硬件产品、自主智能运维产品和运营数据分析服务，并由此收取服务或产品费用。公司取得了11项专利(其中9项为发明专利),86项计算机软件著作权，41项软件产品证书，多项产品获得北京市科学技术委员会，北京市发展和改革委员会等六个部门联合颁发的《北京市新技术新产品(服务)证书》。",邵峰,徐晓飞 (17.14%)，李东平 (12.00%)，邵峰 (12.00%)，田传科 (12.00%),北京市西城区百万庄大街11号粮科大厦3层
301233.SZ,成都盛帮密封件股份有限公司,盛帮股份,,橡胶高分子材料制品研发、生产和销售。,　　一般项目：橡胶制品制造；橡胶制品销售；工程塑料及合成树脂制造；工程塑料及合成树脂销售；密封件制造；密封件销售；汽车零部件研发；汽车零部件及配件制造；铁路机车车辆配件制造；铁路机车车辆配件销售；通用零部件制造；合成材料制造（不含危险化学品）；合成材料销售；高性能纤维及复合材料制造；高性能纤维及复合材料销售；新材料技术研发；高性能密封材料销售；模具制造；模具销售；第一类医疗器械销售；核电设备成套及工程技术研发；工程和技术研究和试验发展；机械设备研发；专用设备制造（不含许可类专业设备制造）；橡胶加工专用设备销售；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：民用航空器零部件设计和生产；道路货物运输（不含危险货物）。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）,成都盛帮密封件股份有限公司主营业务是公司是一家专业从事橡胶高分子材料制品研发、生产和销售的高新技术企业，为汽车、电气、航空等领域客户提供高性能、定制化的密封绝缘产品。主要产品和服务为发动机气缸盖罩、发动机缸体、发动机配气机构、制动器壳体、变速器壳体、新能源车驱动电机机构、出线套管、测拼套管、联络绝缘子、内锥套管、密封件和绝缘件、测拼母线、顶部母线、测拼堵头、插头类电缆附件、内锥类电缆附件、内锥终端试验产品、PT电缆和测试电缆、O形圈、皮碗、垫片、个人穿戴式辐射防护装备、核设施工程类辐射防护产品及核医学辐射防护产品、异形密封圈、密封条、塑料制品。2021年10月，公司被“中国橡胶工业协会橡胶制品分会”评为2021年度橡胶制品行业“最具影响力企业”；11月，通过四川省“专精特新”中小企业认定。,赖凯,赖喜隆 (41.93%)，赖凯 (16.09%),四川省成都市双流区西南航空港经济开发区空港二路1388号
301234.SZ,安徽宏宇五洲医疗器械股份有限公司,五洲医疗,,一次性使用无菌输注类医疗器械的研发、生产和销售，以及其他诊断护理等相关医疗用品的集成供应。,　　生产、生产、销售第一类、第二类、第三类医疗器械；软聚氯乙烯塑料、塑料制品、不锈钢坯料管、不锈钢毛细管的生产和销售；自营和代理货物或技术进出口业务（国家限制和禁止的项目除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,安徽宏宇五洲医疗器械股份有限公司的主营业务为一次性使用无菌输注类医疗器械的研发、生产和销售，以及其他诊断护理等相关医疗用品的集成供应。公司的主营产品为一次性使用无菌注射器(带针)、一次性使用无菌注射器(不带针)、一次性使用无菌胰岛素注射器、输液器、输血器、注射针、胰岛素注射笔用针头、输液针、采血针、血压表、面罩、导尿管。公司已经获得国家高新技术企业、安徽省企业技术中心、安徽省省级工业设计中心等认定，并建立了完善的质量管理体系，且已获得了德国南德意志集团(TüVSüD)ISO13485:2016医疗器械质量管理体系认证、欧盟CE产品认证、美国FDA企业注册和产品列名。截至本招股说明书签署日，公司共取得11项国内医疗器械注册证书，其中，III类医疗器械注册证书9项，II类医疗器械证书2项；发行人16项产品已通过欧盟CE认证，11项产品已获得美国FDA产品列名。,张洪瑜,黄凡 (25.28%)，项炳义 (20.25%)，张洪瑜 (9.00%),安徽省安庆市太湖县经济开发区观音路2号
