,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
300456.SZ,北京赛微电子股份有限公司,赛微电子,北京耐威科技股份有限公司,MEMS芯片的工艺开发及晶圆制造，GaN外延材料生长及器件设计,　　微电子器件、半导体器件、集成电路及配套产品的技术开发、技术服务、软件开发、技术咨询；产品设计；集成电路设计；制造电子计算机软硬件；销售微电子器件、半导体器件、通讯设备及其系统软件、计算机软件、电子计算机及其辅助设备、电子元器件；货物进出口，技术进出口，代理进出口。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,MEMS芯片的工艺开发及晶圆制造，GaN外延材料生长及器件设计,杨云春,杨云春 (25.10%),"北京市西城区裕民路18号北环中心A座2607室(德胜园区),北京市大兴区北京经济技术开发区科创八街21号院1号楼"
300457.SZ,深圳市赢合科技股份有限公司,赢合科技,,为客户提供锂电池自动化装备和服务，以及电子烟ODM代工业务。,　　自动化设备、口罩机的研发、生产与销售、调试安装及售后服务；五金制品的技术开发、设计、生产与销售；电池原材料、成品电池、电子元件、手机、手机配件、车载配件的销售；国内商业、物资供销业、货物及技术进出口；物业租赁；物业管理；设备租赁（不含金融租赁活动）；自动化设备、零件加工与改造；劳保（口罩、防护服、手套）的生产与销售。（以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目。）,深圳市赢合科技股份有限公司的主营业务是为客户提供锂电池自动化装备和服务，以及电子烟ODM代工业务。公司锂电池自动化装备广泛应用于锂电池生产的前中段主要工序。通过持续研发和创新，公司的涂布机、辊压机、分切机、制片机、卷绕机、叠片机、组装线等系列核心设备的技术性能行业领先，已获得国内外一线客户的认可。公司电子烟业务主要以ODM代工业务为主，为客户提供电子烟、烟弹、雾化器及其他电子烟配件等产品。公司秉持“创新驱动发展”战略，持续大力投入研发创新，核心产品性能行业领先，先后获得“国家级高新技术企业”、“广东省著名商标”、“国家火炬计划重点高新技术企业”、“博士后创新实践基地”等荣誉称号。,何爱彬,上海市国有资产监督管理委员会 (14.13%),广东省深圳市南山区粤海街道滨海社区科园路1006号软件产业基地5栋E座901室
300458.SZ,珠海全志科技股份有限公司,全志科技,,智能应用处理器SoC、高性能模拟器件和无线互联芯片的研发与设计。,　　电子元器件、软件的研发及销售；系统集成。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,珠海全志科技股份有限公司主营业务为智能应用处理器SoC、高性能模拟器件和无线互联芯片的研发与设计。主要产品为智能应用处理器SoC、高性能模拟器件和无线互联芯片。公司经过多年在质量管理与实践方面的深耕和积累，已建立了全面系统的质量管理体系，形成了全业务流程的工业级和车规级品质实现能力，产品包交付品质达到业内领先水平。,张建辉,,广东省珠海市香洲区高新区唐家湾镇科技二路9号
300459.SZ,浙江金科汤姆猫文化产业股份有限公司,汤姆猫,浙江金科文化产业股份有限公司,移动互联网文化产业业务,　　许可项目：广播电视节目制作经营；演出经纪；音像制品复制；音像制品制作；网络文化经营；国营贸易管理货物的进出口；游艺娱乐活动；出版物批发；出版物零售；出版物互联网销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。一般项目：音像制品出租；有色金属合金销售；办公用品销售；计算机软硬件及辅助设备零售；计算机软硬件及辅助设备批发；软件开发；网络技术服务；动漫游戏开发；图文设计制作；广告制作；广告发布（非广播电台、电视台、报刊出版单位）；会议及展览服务；组织文化艺术交流活动；信息咨询服务（不含许可类信息咨询服务）；体育保障组织；文艺创作；玩具、动漫及游艺用品销售；电子产品销售；通讯设备销售；互联网销售（除销售需要许可的商品）；面向家长实施的家庭教育咨询服务；单用途商业预付卡代理销售（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,浙江金科汤姆猫文化产业股份有限公司主营业务为移动互联网文化产业业务。公司分产品或服务有信息技术与服务、IP版权。,朱志刚,朱志刚 (15.08%),浙江省杭州市萧山区钱江世纪城平澜路299号浙江商会大厦36层
300460.SZ,广东惠伦晶体科技股份有限公司,惠伦晶体,,石英晶体元器件系列产品研发、生产和销售。,　　设计、生产和销售新型电子元器件（频率控制与选择元器件）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）,"广东惠伦晶体科技股份有限公司主要从事压电石英晶体元器件系列产品研发、生产和销售。主要产品为MHz的SMD谐振器、TCXO振荡器和TSX热敏晶体。公司拥有生产各种规格,角度、切型、频率流水线。专业生产各种型号、各种规格和各种封装形式石英谐振器、振荡器。公司产品在小型化、薄型化、器件研制等方面的进程居于国内同行领先地位。",赵积清,赵积清 (18.57%),广东省东莞市黄江镇黄江东环路68号
300461.SZ,浙江田中精机股份有限公司,田中精机,,自动化设备的研发、设计、生产、销售及技术服务。,　　生产销售自动化机电设备、自动化系统、自动化机械及电子部件、机械部件；对自产产品提供售后维修服务。（上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目）（依法须经批准的项目，经相关部门批准后方可开展经营活动）,"浙江田中精机股份有限公司主要从事自动化设备的研发、设计、生产、销售及技术服务。主要产品为数控自动化标准机、非标准机、数控自动化特殊设备等。公司的主要产品为数控自动化绕线设备。在日本田中精机开发并开始销售第一台绕线机以来,奠定了田中精机在绕线机行业鼻祖的地位。目前在消费电子类的手机无线充电线圈制造设备分类中,市场占用率高。经过数十年不断的创新积累,公司成为当之无愧的定制化解决方案行业的领先者。",肖永富,肖永富 (37.64%),浙江省嘉兴市嘉善县姚庄镇工业园区新景路398号
300462.SZ,上海华铭智能终端设备股份有限公司,华铭智能,,轨道交通AFC系统集成和道路交通ETC业务。,　　轨道交通自动售检票设备生产，轨道交通自动售检票设备零部件及相关配套设备销售，快速公交站台智能安全门、轨道交通站台屏蔽门的销售安装，软件开发，自动寄存柜、计算机及智能系统技术服务、技术咨询、技术转让，从事货物及技术进出口业务，机电安装建设工程施工、建筑智能化建设工程设计及施工，从事智能设备科技、电子科技、通信科技、计算机信息科技、机电科技专业领域内的技术开发、技术转让、技术咨询、技术服务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,上海华铭智能终端设备股份有限公司的主营业务是轨道交通AFC系统集成和道路交通ETC业务。公司产品主要包括自动售票机、自动检票机、自助查询机、自动补票机、票房售票机、编码分拣机等多种系列。经过长约19年的业务发展，公司已陆续获得了上海知名商标、著名商标等荣誉。公司在行业中建立了一定的品牌知名度。公司产品先后通过了国内外3C、CE、CB、UL等第三方等权威检测机构认证。,张亮,张亮 (28.37%),上海市松江区茸梅路895号
300463.SZ,迈克生物股份有限公司,迈克生物,四川迈克生物科技股份有限公司,体外诊断产品研发、生产、销售和相关服务。,　　许可项目：第二类医疗器械生产；第三类医疗器械生产；第三类医疗器械经营；第三类医疗器械租赁；道路货物运输（不含危险货物）；医疗器械互联网信息服务；消毒器械销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：第一类医疗器械生产；第一类医疗器械销售；第二类医疗器械销售；卫生用品和一次性使用医疗用品销售；实验分析仪器销售；第一类医疗器械租赁；第二类医疗器械租赁；专用设备修理；专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；塑料制品制造；塑料制品销售；机械零件、零部件销售；计算机软硬件及辅助设备批发；信息系统集成服务；办公设备销售；办公设备耗材销售；市场调查（不含涉外调查）；国内贸易代理；普通货物仓储服务（不含危险化学品等需许可审批的项目）；工程和技术研究和试验发展；生物化工产品技术研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；进出口代理；货物进出口；技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,"迈克生物股份有限公司主要从事体外诊断产品研发、生产、销售和服务。主要产品类型有生化类产品、免疫类产品、分子诊断产品、临检类产品、凝血产品、血型产品、快速检测平台、病理产品平台。公司产品具备国际一流的品质,近几年在卫生部组织完成的生化项目室间质评(EQA)的数据来分析,参加的实验室数量中有80%的生化项目迈克品牌位列前五,常规生化项目位列前三,国内品牌名列前茅。",唐勇,唐勇 (11.11%)，王登明 (7.43%)，刘启林 (5.41%),四川省成都市郫都区高新区安和二路8号
300464.SZ,广东星徽精密制造股份有限公司,星徽股份,,精密金属连接件的研发、生产、销售和自有品牌的智能小家电类、电脑手机周边类、电源类、家私类等消费电子产品的研发、设计、销售。,　　一般项目：轴承、齿轮和传动部件制造；轴承、齿轮和传动部件销售；五金产品研发；五金产品制造；五金产品批发；五金产品零售；建筑用金属配件制造；通用设备制造（不含特种设备制造）；模具制造；模具销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；进出口代理；采购代理服务；电子产品销售；日用百货销售；家用电器销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,广东星徽精密制造股份有限公司的主营业务是精密金属连接件的研发、生产、销售和自有品牌的智能小家电类、电脑手机周边类、电源类、家私类等消费电子产品的研发、设计、销售。公司主要产品是滑轨、铰链、拉篮、水槽、水龙头、智能小家电类、电脑手机周边类、电源类、家私类。,谢晓华,蔡耿锡 (10.96%)，谢晓华 (10.75%),广东省佛山市顺德区北滘镇北滘社区居民委员会科业路3号之三
300465.SZ,高伟达软件股份有限公司,高伟达,,金融信息服务业务和少量移动广告营销业务。,"　　开发计算机软件及配套硬件、系统集成;销售自产产品、批发机电设备产品;售后技术服务、技术咨询;承接计算机网络工程安装。(上述经营范围不涉及国营贸易管理商品;涉及配额、许可证管理商品的按照国家有关规定办理申请)(依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动)。主营业务为IT服务,包括IT解决方案、系统集成、IT运维服务和软件外包服务;移动广告营销,包括移动数据推广、专有品牌推广、自有平台广告、电商推广、第三方平台广告、小说代理业务。","高伟达软件股份有限公司主营业务为金融信息服务业务和少量移动广告营销业务,公司主要产品为系统集成、软件业务、IT运维服务、移动互联网业务。公司是北京市高新技术企业,拥有CMMI3级资质和国家工业和信息化部颁发的系统集成一级资质。",于伟,于伟 (22.75%),北京市朝阳区亮马桥路32号高斓大厦1501室
