,name,shortname,prename,operation,operation_scope,introduction,legal_representative,actual_controller,office
600389.SH,南通江山农药化工股份有限公司,江山股份,,以除草剂、杀虫剂为主的农药产品，以特种化学品、化工中间体、氯碱、新材料为主的化工产品，以及热电联产蒸汽等产品的研发、生产和销售。,　　化学农药、有机化学品、无机化学品、高分子聚合物、纳米材料、耐火绝热产品制造、加工、销售（国家有专项规定的办理审批手续后经营）。经营本企业自产产品及相关技术的出口业务；经营本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及相关技术的进口业务；经营本企业的进料加工和“三来一补”业务。化学技术咨询服务。工业盐的零售。在港区内从事货物装卸、仓储经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,"南通江山农药化工股份有限公司主要从事以除草剂、杀虫剂为主的农药产品，以特种化学品、化工中间体、氯碱、新材料为主的化工产品，以及热电联产蒸汽等产品的研发、生产和销售。农药品种有草甘膦、敌敌畏、敌百虫、甲草胺、乙草胺、丁草胺、氯噻啉、烯啶虫胺等原药以及制剂产品,制剂品种包括水剂、乳油、水乳剂、水溶性粒剂、水分散粒剂等;基础化工产品有烧碱、氯气、氢气、高纯盐酸、饮用水级次氯酸钠等;特种化学品有苯基胍、阻燃剂等;新材料有纳米粉体及纳米保温材料等;化工中间体有亚磷酸、亚磷酸二甲酯、亚磷酸三甲酯、三氯化磷、三氯乙醛、氯甲烷等。根据中国农药工业协会公布的农药销售收入排名,公司农药销售收入列“2018中国农药行业百强”。根据中国贸易促进委员会统计的农药出口收入排名,公司农药出口收入列“2018中国农药出口前20强”。",薛健,,江苏省南通市崇川区经济技术开发区江山路998号
600390.SH,五矿资本股份有限公司,五矿资本,金瑞新材料科技股份有限公司,证券、期货、信托、金融租赁、基金、商业银行、产业直投等业务,　　以自有资产进行高新技术产业、房地产项目的投资及其他实业投资；投资咨询；资产受托管理（不得从事吸收存款、集资收款、受托贷款、发放贷款等国家金融监管及财政信用业务）；高新技术开发；企业策划；企业经营管理咨询。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,五矿资本股份有限公司主营业务是电子基础材料和超硬材料。2017年1月公司完成重大资产重组，公司的业务范围涵盖金融业务，成为拥有证券、期货、信托、金融租赁、基金、商业银行、产业直投等业务的平台公司。公司主要产品或服务期货风险管理业务、期货经纪业务及资管业务、信托公司业务、证券公司业务、租赁公司业务。,赵立功,国务院国有资产监督管理委员会 (44.14%),"湖南省长沙市岳麓区麓山南路966号,北京市东城区朝阳门北大街3号五矿广场C座"
600391.SH,中国航发航空科技股份有限公司,航发科技,四川成发航空科技股份有限公司,航空发动机及燃气轮机零部件的研发、制造、销售、服务。,　　研究、制造、加工、维修、销售航空发动机及零部件、燃气轮机及零部件、轴承、机械设备、非标准设备、环保设备、金属铸锻件、金属制品、燃烧器、燃油燃气器具、纺织机械、医疗及化工机械（不含医疗机械）；金属及非金属表面处理；工艺设备及非标准设备的设计、制造及技术咨询服务；项目投资（不得从事非法集资、吸收公众资金等金融活动）、企业管理服务；架线和管道工程施工、建筑安装工程施工（凭相关资质许可证从事经营）；会议及展览服务；体育场馆管理服务；休闲健身活动服务；机械设备租赁；自有房地产经营；货物进出口，技术进出口（国家法律、行政法规禁止的除外，法律、法规限制的项目取得许可后方可经营）（工业项目另设分支机构或另择经营场地经营）(依法须经批准的项目，经相关部门批准后方可开展经营活动）。,中国航发航空科技股份有限公司主要业务为航空发动机及燃气轮机零部件的研发、制造、销售、服务，主要分为内贸航空及衍生产品、外贸产品两个业务板块。公司拥有国家实验室资格的理化检测中心；通过了ISO9001、GJB9001C和AS9100D质量体系认证，多项特种工艺获国际宇航的NADCAP认证等。,丛春义,国务院国有资产监督管理委员会 (19.51%),四川省成都市新都区三河镇蜀龙大道成发工业园
600392.SH,盛和资源控股股份有限公司,盛和资源,太原理工天成科技股份有限公司,稀土矿采选、冶炼分离、金属加工以及锆钛矿选矿业务。,　　各类实业投资；稀有稀土、锆、钛等金属系列产品的销售、综合应用及深加工；技术服务和咨询；稀土、锆、钛新材料加工与销售；化工材料（不含危险化学品）销售；自营和代理各类商品和技术进出口业务（国家限定公司经营和国家禁止进出口的商品及技术除外）,盛和资源控股股份有限公司的主营业务为稀土矿采选、冶炼分离、金属加工以及锆钛矿选矿业务，主要产品为稀土精矿、稀土氧化物、稀土盐、稀土金属、独居石、锆英砂、钛精矿、金红石等。,颜世强,中华人民共和国财政部 (14.06%),四川省成都市武侯区高新区盛和一路66号城南天府7楼
600393.SH,广州粤泰集团股份有限公司,粤泰股份,广州东华实业股份有限公司,房地产开发。,　　房地产开发经营；房地产中介服务；房地产咨询服务；物业管理；场地租赁（不含仓储）；房屋租赁；自有房地产经营活动；房屋建筑工程施工；企业自有资金投资；商品批发贸易（许可审批类商品除外）；非金属矿及制品批发（国家专营专控类除外）；金属及金属矿批发（国家专营专控类除外）；企业管理咨询服务；园林绿化工程服务；林木育种；林木育苗。,广州粤泰集团股份有限公司的主营业务为房地产开发。公司业务范围主要集中在国内的北京、广州、深圳、江门、淮南、海口、三门峡、郴州等城市以及柬埔寨的金边。公司商品住宅开发以商住类型的住宅产品为主。公司经营模式以自主开发房地产项目为主。公司广州亿城泉说酒店荣获“第十九届中国金马奖”。,杨树坪,杨树坪 (49.72%),广东省广州市越秀区寺右新马路170号四楼
600395.SH,贵州盘江精煤股份有限公司,盘江股份,,煤炭的开采、洗选加工和销售以及电力的生产和销售。,　　（一）原煤开采、煤炭洗选加工、煤的特殊加工、煤炭及伴生资源综合开发利用，煤炭产品及焦炭的销售。（二）出口：本企业自产的煤炭产品、焦炭、煤的特殊加工产品等商品及其相关技术。（三）进口：煤炭产品，本企业生产、科研所需的原辅材料、机械设备、仪器仪表、零配件及其相关技术。（四）电力的生产与销售。（五）矿山机电设备制造、修理、租赁及生产服务；矿山机电设备及配件、材料销售。（六）化工产品销售（凭许可证经营）。（七）铁合金冶炼。（八）汽车运输（普通货物运输）及汽车零配件销售。（九）物业管理（凭许可证经营），单位后勤管理服务。（十）贸易及代理业务、仓储配送服务、代理记账、财务咨询、会计服务、税务代理。,贵州盘江精煤股份有限公司主要从事煤炭的开采、洗选加工和销售以及电力的生产和销售，主要产品有煤炭、电力。公司作为西南地区最大的煤炭生产企业，承担着西南地区煤炭供应任务。贵州省煤炭资源丰富，有“江南煤海”之称，在全国仅次于蒙、晋、疆、陕，排列第五位。公司所在的盘江矿区被国家列为重点开发的十大矿区之一，是西南地区最大的炼焦煤企业。,朱家道,贵州省国有资产监督管理委员会 (42.95%),贵州省六盘水市盘州市红果经济开发区干沟桥
600396.SH,沈阳金山能源股份有限公司,金山股份,沈阳金山热电股份有限公司,主要从事电力、热力的生产与销售。,　　火力发电，供暖、供热，粉煤灰、金属材料销售，小型电厂机、炉、电检修，循环水综合利用，技术服务，水力发电，风力发电，风力发电设备安装及技术服务，煤炭批发，石膏批发、零售，道路货物运输，污水处理及再生利用，城市污泥处理及利用，电力成套设备及配件、机械电子设备、化工产品(不含危险化学品）、石灰石、五金交电、汽车、计算机软硬件及外辅设备、办公设备、仪器仪表、汽车配件、劳保用品、文化用品、日用品百货销售，自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外，经济信息咨询服务，商务信息咨询服务，互联网信息服务，仓储服务（不含危险化学品），再生物资回收与批发；售电业务、增量配电网投资、建设、运营，合同能源管理，综合节能、用能技术咨询服务，光电一体化技术开发、技术咨询、技术转让，电力工程设计、施工，电力设备维修。,沈阳金山能源股份有限公司主要从事电力、热力的生产与销售。主要产品为电力和热力。公司是中央企业的二级单位。截至2019年底，金山股份直接投资的公司13家，包括全资公司6家、控股公司4家，参股公司3家；资产总额193.05亿元；控股装机容量合计567.88万千瓦。,毕诗方,国务院国有资产监督管理委员会 (34.65%),辽宁省沈阳市和平区南五马路183号泰宸商务大厦B座23-24
600397.SH,安源煤业集团股份有限公司,安源煤业,安源实业股份有限公司,煤炭采选及经营，煤炭及物资流通业务。,　　许可项目：煤炭开采，道路货物运输（不含危险货物），发电业务、输电业务、供（配）电业务，输电、供电、受电电力设施的安装、维修和试验，紧急救援服务（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：矿物洗选加工，煤炭及制品销售，货物进出口，国内贸易代理，进出口代理，普通货物仓储服务（不含危险化学品等需许可审批的项目），通用设备修理，非居住房地产租赁，住房租赁，专用设备修理，自然科学研究和试验发展，信息技术咨询服务，新兴能源技术研发，劳务服务（不含劳务派遣），技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，业务培训（不含教育培训、职业技能培训等需取得许可的培训），工程技术服务（规划管理、勘察、设计、监理除外），机械设备租赁，特种作业人员安全技术培训，电力设施器材销售（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）。,"安源煤业集团股份有限公司的主营业务为煤炭采选及经营，煤炭及物资流通业务；公司的主要产品及服务有炼精煤、洗动力煤、混煤、筛混煤、洗末煤、块煤、煤炭贸易、矿山物资贸易；公司煤炭业务相比较江西省外的竞争对手具有运距短、成本低的区域优势。2019年,全省自产煤炭不足500万吨、煤炭消费量近7000万吨,且随着江西省经济稳定发展,煤炭需求量亦逐年增长,仍有较大的市场空间,作为江西省省属煤炭上市企业,在江西省煤炭供需格局中拥有突出的地位。",余子兵,江西省国有资产监督管理委员会 (39.34%),江西省南昌市西湖区九州大街1022号
600398.SH,海澜之家集团股份有限公司,海澜之家,海澜之家股份有限公司,从事品牌管理、供应链管理、营销网络管理的大型消费品牌运营。,　　毛纺新技术、新产品、新材料、通讯产品的研发、销售，环保高新技术产品的开发及投资，精纺呢绒、毛纱、服装（包含执法服、制服）、针织品、衬衫、领带、袜子、纺织原料、服饰、皮革、毛皮、羽毛及其制品、鞋子、服装辅料、防静电工作服、阻燃工作服、防酸工作服的制造、加工、销售，安全帽、塑料橡胶帽的销售，自营和代理各类商品及技术的进出口业务；自有房屋的租赁服务；物业管理（凭有效资质证书经营）；服装设计。（依法须经批准的项目，经相关部门批准后方可开展经营活动）一般项目：互联网销售（除销售需要许可的商品）；品牌管理；企业管理咨询；专业设计服务；信息系统运行维护服务；信息系统集成服务；软件开发；信息技术咨询服务；互联网数据服务；数据处理和存储支持服务；软件销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；会议及展览服务；以自有资金从事投资活动；股权投资；日用百货销售；户外用品销售；办公用品销售；文具用品零售；母婴用品销售；家用电器销售；体育用品及器材零售；化妆品零售；五金产品零售；第一类医疗器械销售；服饰研发；服装、服饰检验、整理服务；大数据服务；计算机系统服务；企业管理；供应链管理服务。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,"海澜之家集团股份有限公司主要从事品牌管理、供应链管理、营销网络管理的大型消费品牌运营。其主要产品包括裤子、T恤衫、衬衫、羽绒服、西服、茄克衫、针织衫。
　　2019年5月6日，海澜之家以品牌价值9.5亿美元入选“BrandZ 2019最具价值中国品牌100强”；7月10日，财富中文网发布了2019年《财富》中国500强排行榜，公司已连续5年上榜；10月15日，海澜之家品牌入选CCTV《大国品牌》、中国广告协会联合举办的“新中国成立70周年70品牌”；12月8日，公司获中国扶贫基金会颁发的“特别贡献奖”；12月12日，胡润研究院携手知识产权与科创云平台汇桔，联合发布《汇桔网·2019胡润品牌榜》，海澜之家品牌入选“2019最具价值中国品牌”。",周立宸,周建平 (11.65%),江苏省无锡市江阴市华士镇
600399.SH,抚顺特殊钢股份有限公司,抚顺特钢,,从事特殊钢和合金材料研发、制造业务。,　　经营本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进口业务(国家限定公司经营或禁止进出口的商品及技术除外)，钢冶炼，压延钢加工，冶金技术服务，工业气体(含液体)制造、销售，设备安装，冶金设备维修和制造，机械加工与铆焊制作，电器维修，钢结构架制造，机电设备技术咨询，钢材销售，窑炉维修。(依法须经批准的项目，经相关部门批准后方可开展经营活动。),"抚顺特殊钢股份有限公司是大型特殊钢重点企业和军工材料研发生产基地,被誉为中国的""特钢摇篮"",主营业务为特殊钢和合金材料的研发制造。公司主要产品为高温合金、不锈钢、工模具钢、合金结构钢。先后为我国冶炼出了第一炉不锈钢、第一炉超高强钢、第一炉高速钢、第一炉高温合金,并为我国第一颗人造地球卫星、第一枚导弹、第一艘潜水艇和多项国家重点国防工程提供了大批关键的特钢新材料,是我国军工特钢材料的主要单位,行业领先地位突出.目前公司的军工产品占收入比重约10%-15%,目前我国武器装备所使用的特钢材料中,有80%左右来自公司,公司还提供了国家重点航天航空材料用量的50%以上,其中""神六""飞船及其运载火箭均采用了公司的高温合金、高强钢、不锈钢等多项特殊钢新产品。",孙立国,沈文荣 (9.21%),辽宁省抚顺市望花区鞍山路东段8号
